而 O -1
百 O -1
公 O -1
里 O -1
油 O -1
耗 O -1
仅 O -1
升 O -1
的 O -1
惊 O -1
人 O -1
省 B-ASP 2
油 I-ASP 2
性 I-ASP 2
能 I-ASP 2

流 O -1
畅 O -1
稳 O -1
健 O -1
的 O -1
外 B-ASP 2
观 I-ASP 2
造 I-ASP 2
型 I-ASP 2

流 O -1
畅 O -1
大 O -1
气 O -1
的 O -1
线 B-ASP 2
条 I-ASP 2

而 O -1
浑 O -1
厚 O -1
成 O -1
熟 O -1
稳 O -1
重 O -1
的 O -1
整 B-ASP 2
体 I-ASP 2
造 I-ASP 2
型 I-ASP 2
中 O -1
依 O -1
然 O -1
蕴 O -1
涵 O -1
着 O -1
强 O -1
烈 O -1
的 O -1
时 O -1
尚 O -1
色 O -1
彩 O -1
和 O -1
张 O -1
扬 O -1
的 O -1
个 O -1
性 O -1

尽 O -1
管 O -1
内 B-ASP 0
部 I-ASP 0
空 I-ASP 0
间 I-ASP 0
有 O -1
些 O -1
狭 O -1
窄 O -1

机 B-ASP 2
械 I-ASP 2
增 I-ASP 2
压 I-ASP 2
引 I-ASP 2
擎 I-ASP 2
比 O -1
涡 O -1
轮 O -1
增 O -1
压 O -1
引 O -1
擎 O -1
优 O -1
越 O -1
的 O -1
地 O -1
方 O -1
在 O -1
于 O -1
功 O -1
率 O -1
可 O -1
以 O -1
在 O -1
瞬 O -1
时 O -1
提 O -1
升 O -1
而 O -1
没 O -1
有 O -1
任 O -1
何 O -1
的 O -1
迟 O -1
滞 O -1

同 O -1
时 O -1
在 O -1
车 O -1
辆 O -1
平 O -1
稳 O -1
行 O -1
驶 O -1
时 O -1
也 O -1
不 O -1
再 O -1
有 O -1
刺 O -1
耳 O -1
的 O -1
排 B-ASP 2
气 I-ASP 2
管 I-ASP 2
噪 I-ASP 2
音 I-ASP 2
和 O -1
其 O -1
他 O -1
令 O -1
人 O -1
不 O -1
快 O -1
的 O -1
杂 O -1
音 O -1
传 O -1
入 O -1
车 O -1
内 O -1

不 O -1
过 O -1
感 O -1
觉 O -1
加 B-ASP 0
速 I-ASP 0
有 O -1
些 O -1
过 O -1
快 O -1

同 O -1
时 O -1
不 O -1
但 O -1
对 O -1
这 O -1
台 O -1
引 B-ASP 2
擎 I-ASP 2
动 I-ASP 2
力 I-ASP 2
之 O -1
充 O -1
沛 O -1
感 O -1
到 O -1
惊 O -1
讶 O -1

保 O -1
时 O -1
捷 O -1
凯 O -1
宴 O -1
凭 O -1
借 O -1
其 O -1
张 O -1
力 O -1
十 O -1
足 O -1
的 O -1
外 B-ASP 2
形 I-ASP 2
以 O -1
及 O -1
纯 O -1
正 O -1
的 O -1
跑 O -1
车 O -1
血 O -1
统 O -1

凯 O -1
