声 B-ASP 0
场 I-ASP 0
还 O -1
是 O -1
有 O -1
些 O -1
局 O -1
促 O -1

空 B-ASP 0
间 I-ASP 0
感 I-ASP 0
不 O -1
强 O -1

样 B-ASP 2
子 I-ASP 2
讨 O -1
人 O -1
喜 O -1
欢 O -1

也 O -1
就 O -1
是 O -1
说 O -1
红 B-ASP 2
外 I-ASP 2
线 I-ASP 2
的 I-ASP 2
操 I-ASP 2
作 I-ASP 2
简 O -1
单 O -1
易 O -1
用 O -1

来 B-ASP 2
电 I-ASP 2
防 I-ASP 2
火 I-ASP 2
墙 I-ASP 2
功 I-ASP 2
能 I-ASP 2
挺 O -1
强 O -1

待 B-ASP 0
机 I-ASP 0
时 I-ASP 0
间 I-ASP 0
短 O -1

铃 B-ASP 0
声 I-ASP 0
不 O -1
够 O -1
大 O -1

简 O -1
洁 O -1
的 O -1
流 O -1
线 O -1
型 O -1
设 B-ASP 2
计 I-ASP 2
银 O -1
翼 O -1
合 O -1
金 O -1
外 O -1
壳 O -1
质 O -1
感 O -1
配 O -1
以 O -1
可 O -1
度 O -1
旋 O -1
转 O -1
的 O -1
折 O -1
叠 O -1
式 O -1
前 O -1
盖 O -1

做 B-ASP 2
工 I-ASP 2
精 O -1
细 O -1

选 O -1
用 O -1
了 O -1
极 O -1
具 O -1
魅 O -1
力 O -1
的 O -1
蓝 O -1
色 O -1
键 B-ASP 2
盘 I-ASP 2
背 I-ASP 2
光 I-ASP 2
灯 I-ASP 2

光 B-ASP 2
线 I-ASP 2
强 I-ASP 2
度 I-ASP 2
也 O -1
较 O -1
大 O -1

这 O -1
款 O -1
手 O -1
机 O -1
的 O -1
转 B-ASP 2
轴 I-ASP 2
的 I-ASP 2
紧 I-ASP 2
密 I-ASP 2
性 I-ASP 2
表 O -1
现 O -1
出 O -1
色 O -1

整 O -1
体 O -1
的 O -1
连 B-ASP 2
贯 I-ASP 2
性 I-ASP 2
能 I-ASP 2
表 O -1
现 O -1
出 O -1
色 O -1

具 O -1
有 O -1
丰 O -1
富 O -1
的 O -1
中 B-ASP 2
文 I-ASP 2
输 I-ASP 2
入 I-ASP 2
联 I-ASP 2
想 I-ASP 2
功 I-ASP 2
能 I-ASP 2

这 O -1
样 O -1
的 O -1
配 O -1
置 O -1
使 O -1
得 O -1
在 O -1
铃 B-ASP 2
声 I-ASP 2
的 I-ASP 2
表 I-ASP 2
现 I-ASP 2
力 I-ASP 2
方 I-ASP 2
面 I-ASP 2
还 O -1
是 O -1
比 O -1
较 O -1
的 O -1
丰 O -1
富 O -1
多 O -1
彩 O -1
的 O -1

铃 B-ASP 2
声 I-ASP 2
响 O -1
亮 O -1
清 O -1
澈 O -1
的 O -1

音 B-ASP 2
色 I-ASP 2
纯 O -1
正 O -1
而 O -1
丰 O -1
富 O -1

手 O -1
机 O -1
预 O -1
置 O -1
的 O -1
游 B-ASP 2
戏 I-ASP 2
